Empcode,Name,Department,DOJ,P,WO,H,L,Ab,DP,OT1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
EMP001,John Doe,LINE 1,01-Jan-23,20,4,0,1,0,0,0,P,P,P,P,P,WO,P,P,P,P,P,WO,P,P,P,P,P,WO,P,P,P,P,P,WO,P,P,L,P,P,WO,P
EMP002,Meena Kumar,LINE 5,16-May-20,17,7,1,2,2,1,1,WO,Ab,P,P,WO,P,P,WO,DP,P,P,L,L,P,WO,P,P,P,P,H,WO,WO,OT1,P,P,P,Ab,P,WO,P,P
EMP002,Meena Kumar,LINE 5,16-May-20,15,4,0,1,5,1,2,P,P,P,Ab,WO,P,Ab,P,P,OT1,Ab,WO,DP,Ab,Ab,P,P,P,WO,P,P,P,OT1,P,L,WO,P,P,,,
EMP002,Meena Kumar,LINE 5,16-May-20,18,5,2,0,2,3,1,DP,OT1,P,H,WO,P,P,DP,P,P,H,WO,P,P,P,Ab,P,DP,WO,P,P,P,WO,P,P,WO,Ab,P,P,P,P
EMP002,Meena Kumar,LINE 5,16-May-20,14,6,2,1,3,2,2,P,WO,P,DP,P,H,P,P,WO,WO,P,P,L,P,P,WO,OT1,OT1,P,P,P,DP,WO,Ab,Ab,P,P,Ab,H,WO,
EMP002,Meena Kumar,LINE 5,16-May-20,18,6,1,2,2,1,1,P,OT1,WO,P,L,P,WO,WO,DP,P,P,P,P,WO,P,P,H,P,P,P,WO,P,Ab,Ab,P,P,P,WO,P,L,P
EMP002,Meena Kumar,LINE 5,16-May-20,16,4,1,2,7,0,0,P,H,P,WO,P,P,P,Ab,Ab,P,WO,Ab,P,P,P,P,Ab,WO,L,Ab,Ab,P,P,P,WO,L,Ab,P,P,P,
EMP002,Meena Kumar,LINE 5,16-May-20,11,5,1,6,6,1,1,Ab,WO,Ab,OT1,L,Ab,P,H,WO,P,DP,L,Ab,L,P,WO,L,P,Ab,Ab,P,L,WO,P,P,L,P,P,P,WO,P
EMP002,Meena Kumar,LINE 5,16-May-20,17,4,3,0,2,3,2,Ab,DP,P,P,P,WO,OT1,P,DP,P,OT1,P,WO,DP,P,P,P,H,P,WO,P,P,P,P,P,H,WO,P,Ab,P,H
EMP002,Meena Kumar,LINE 5,16-May-20,18,7,2,0,2,1,0,H,WO,WO,P,P,WO,P,P,Ab,WO,H,P,P,P,P,P,WO,P,P,DP,WO,Ab,P,WO,P,P,P,P,P,P,
EMP002,Meena Kumar,LINE 5,16-May-20,18,8,0,3,2,0,0,WO,WO,P,P,P,P,Ab,WO,L,P,P,P,P,P,WO,L,L,WO,P,P,P,WO,P,P,Ab,P,P,P,WO,P,WO
EMP002,Meena Kumar,LINE 5,16-May-20,14,6,1,3,3,2,1,P,P,WO,P,WO,L,L,P,P,P,DP,WO,P,P,P,Ab,P,L,WO,WO,OT1,P,DP,Ab,P,WO,H,P,Ab,P,
EMP002,Meena Kumar,LINE 5,16-May-20,20,6,2,1,2,0,0,Ab,H,WO,P,P,P,P,L,P,WO,P,P,P,P,P,P,WO,P,P,P,WO,H,P,WO,P,P,P,P,P,Ab,WO
EMP003,Manoj Gupta,LINE 2,17-Oct-22,18,7,1,2,2,1,0,WO,P,WO,Ab,L,P,P,WO,P,L,Ab,DP,P,H,WO,P,P,P,P,P,P,WO,P,WO,P,P,P,P,WO,P,P
EMP003,Manoj Gupta,LINE 2,17-Oct-22,16,6,0,4,1,0,1,P,P,P,P,WO,P,P,P,P,P,P,WO,L,P,L,Ab,P,P,WO,P,P,OT1,P,WO,L,WO,WO,L,,,
EMP003,Manoj Gupta,LINE 2,17-Oct-22,16,8,2,2,0,3,0,DP,P,P,P,WO,P,WO,P,P,WO,L,WO,P,P,H,P,L,DP,WO,P,P,P,WO,DP,P,WO,H,P,WO,P,P
EMP003,Manoj Gupta,LINE 2,17-Oct-22,13,5,2,5,2,2,1,L,WO,Ab,P,P,OT1,L,P,WO,P,P,P,P,Ab,L,WO,P,DP,P,L,H,P,WO,H,DP,P,L,P,P,WO,
EMP003,Manoj Gupta,LINE 2,17-Oct-22,15,5,3,2,5,1,0,P,H,P,Ab,Ab,P,WO,Ab,P,P,P,P,P,WO,Ab,P,P,L,P,Ab,WO,H,P,P,DP,P,H,WO,P,L,WO
EMP003,Manoj Gupta,LINE 2,17-Oct-22,19,5,3,2,0,0,1,P,P,L,WO,P,P,WO,P,P,P,WO,P,P,H,P,H,P,WO,P,P,P,P,P,L,WO,P,P,P,H,OT1,
EMP003,Manoj Gupta,LINE 2,17-Oct-22,20,6,0,1,2,1,1,P,WO,P,P,P,P,P,P,WO,P,P,OT1,P,WO,P,WO,Ab,P,Ab,P,P,P,WO,P,P,DP,P,L,P,WO,P
EMP003,Manoj Gupta,LINE 2,17-Oct-22,19,5,1,2,1,1,2,P,P,P,P,P,WO,OT1,P,L,P,L,P,WO,P,P,P,Ab,OT1,P,WO,P,P,H,DP,P,P,WO,WO,P,P,P
EMP003,Manoj Gupta,LINE 2,17-Oct-22,16,6,3,2,2,1,0,P,P,WO,P,P,P,H,H,P,WO,WO,Ab,L,P,WO,DP,WO,P,P,P,Ab,L,P,WO,P,P,H,P,P,P,
EMP003,Manoj Gupta,LINE 2,17-Oct-22,15,9,0,1,2,3,1,WO,WO,WO,DP,P,P,P,WO,P,P,P,P,P,DP,WO,Ab,P,DP,OT1,WO,P,WO,P,L,P,WO,Ab,P,WO,P,P
EMP003,Manoj Gupta,LINE 2,17-Oct-22,17,7,0,2,1,1,2,P,P,P,P,WO,WO,Ab,P,WO,P,DP,WO,L,P,P,P,P,OT1,WO,P,P,OT1,WO,P,P,WO,P,P,L,P,
EMP003,Manoj Gupta,LINE 2,17-Oct-22,16,6,1,1,4,0,3,L,P,WO,P,Ab,P,WO,P,OT1,WO,P,P,P,P,P,P,WO,OT1,Ab,P,P,Ab,P,WO,H,P,P,Ab,OT1,P,WO
EMP004,Arun Verma,LINE 10,14-May-21,18,6,0,2,3,1,1,WO,P,P,Ab,P,Ab,Ab,WO,P,L,P,DP,P,L,WO,P,P,P,OT1,P,P,WO,P,P,P,P,P,P,WO,P,WO
EMP004,Arun Verma,LINE 10,14-May-21,13,6,3,3,2,0,1,P,P,L,P,WO,H,H,L,P,WO,L,WO,OT1,P,P,P,P,Ab,WO,Ab,P,P,P,H,P,WO,WO,P,,,
EMP004,Arun Verma,LINE 10,14-May-21,13,6,2,1,7,1,1,P,DP,P,WO,WO,P,Ab,Ab,Ab,P,P,WO,H,L,Ab,P,P,P,WO,Ab,OT1,H,P,P,P,WO,Ab,P,WO,Ab,P
EMP004,Arun Verma,LINE 10,14-May-21,18,6,0,3,3,0,0,L,WO,P,P,P,P,P,L,WO,P,P,Ab,P,P,Ab,WO,P,P,P,P,P,L,WO,Ab,WO,P,P,P,P,WO,
EMP004,Arun Verma,LINE 10,14-May-21,19,6,1,1,2,0,2,P,P,P,Ab,P,P,WO,P,P,P,P,OT1,P,WO,OT1,WO,P,P,WO,H,WO,P,P,P,Ab,P,L,WO,P,P,P
